,logreg_loss,logreg_acc,svm_loss,svm_acc,onehidden_loss,onehidden_acc,deepnn_loss,deepnn_acc,simpleconv_loss,simpleconv_acc,deepconv_loss,deepconv_acc,simplelstm_loss,simplelstm_acc,deeplstm_loss,deeplstm_acc
0,0.06441872878303975,0.9326241134751773,0.21692655782433265,0.902127659574468,0.13827385207017262,0.9475177304964539,0.12685471178157956,0.9524822695035461,0.1945064905898791,0.9120567375886525,0.16480790096605924,0.9304964539007092,0.40642941708260394,0.8085106382978723,0.37687128270771486,0.8368794326241135
1,0.06481521050610864,0.9283687943262411,0.21753694650234906,0.9035460992907801,0.12139047274088606,0.9517730496453901,0.13639836095881167,0.9531914893617022,0.2002971813399741,0.9177304964539007,0.16899159987133444,0.924822695035461,0.41500688047273787,0.8078014184397163,0.292693009317344,0.875886524822695
2,0.06539375121896783,0.926950354609929,0.21798374385487104,0.9035460992907801,0.1416750026087389,0.9475177304964539,0.11942879758339296,0.9539007092198581,0.2262131097891652,0.9113475177304965,0.13689175696237713,0.9482269503546099,0.4398412215371504,0.7879432624113475,0.2578576051597054,0.900709219858156
3,0.06318072410340005,0.9297872340425531,0.21654882591666905,0.9056737588652483,0.12561699545129817,0.949645390070922,0.12962725014353157,0.949645390070922,0.19097971878153214,0.9234042553191489,0.23942966993818893,0.8950354609929078,0.43036452713587603,0.8049645390070922,0.3343351849004732,0.8546099290780141
4,0.06503743391272658,0.9297872340425531,0.21798762121099108,0.9014184397163121,0.12911150305934832,0.9602836879432625,0.13705375067731168,0.9517730496453901,0.20600888817868335,0.9120567375886525,0.147408656332087,0.9368794326241134,0.3696514285625295,0.8354609929078014,0.3241990869349622,0.8567375886524823
5,0.06345451313288922,0.9326241134751773,0.21914338370164235,0.8992907801418439,0.1252832641785449,0.9517730496453901,0.11825104564269806,0.9546099290780142,0.1910102143355295,0.926950354609929,0.1503035881417863,0.9375886524822695,0.4379378970210434,0.7900709219858156,0.3549416231348159,0.8453900709219858
6,0.06475785242538926,0.9297872340425531,0.2165512649091423,0.9049645390070922,0.13684734325882392,0.951063829787234,0.13220843813045227,0.9553191489361702,0.19392596386003155,0.922695035460993,0.15007958488525652,0.9397163120567376,0.4012575404441103,0.8106382978723404,0.3372776909922877,0.851063829787234
7,0.0633623984648932,0.9333333333333333,0.21838415644481673,0.9035460992907801,0.13636783916793815,0.9553191489361702,0.12092098597939133,0.9539007092198581,0.19062804110506748,0.9241134751773049,0.16515269749236444,0.9361702127659575,0.4179636114878012,0.8078014184397163,0.2621502495192467,0.9014184397163121
8,0.06459816273645307,0.9304964539007092,0.2155310944145453,0.902127659574468,0.12161224853670131,0.9524822695035461,0.13929893492806888,0.9453900709219858,0.20913415610367525,0.9177304964539007,0.1408587041951663,0.9453900709219858,0.38710903960762294,0.8283687943262411,0.34351313224075536,0.8460992907801419
9,0.06497625009625728,0.9283687943262411,0.21682970839823393,0.9078014184397163,0.13603589657350634,0.949645390070922,0.1355119213250512,0.9539007092198581,0.18899540913865923,0.926241134751773,0.19531079857801714,0.9212765957446809,0.3634653118485255,0.8411347517730496,0.24939415917751637,0.9070921985815603
